SY_LSOA,LSOA11CD_code,"Agriculture, forestry & fishing","Mining, quarrying & utilities",Manufacturing,Construction,Motor trades,Wholesale,Retail,Transport & storage (inc postal),Accommodation & food services,Information & communication,Financial & insurance,Property,"Professional, scientific & technical",Business administration & support services,Public administration & defence,Education,Health,"Arts, entertainment, recreation & other services"
Sheffield 019D,E01008094,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,150,100,0
Sheffield 020A,E01007869,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,50,10,10
Sheffield 020B,E01007872,0,0,0,5,0,0,0,5,0,0,0,0,5,5,0,10,75,300
Sheffield 020C,E01007873,0,75,175,50,25,10,30,35,0,10,0,15,10,50,0,10,10,20
Sheffield 020D,E01007942,0,0,20,10,10,0,25,20,40,0,0,0,15,35,0,30,10000,0
Sheffield 020E,E01007949,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,100,0
Sheffield 021A,E01007990,0,0,0,10,0,5,40,10,0,0,0,0,0,0,0,30,10,0
Sheffield 021B,E01007992,0,0,0,10,0,0,10,0,0,0,0,5,10,10,0,0,25,5
Sheffield 021C,E01007993,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheffield 021D,E01007994,0,0,0,5,0,0,0,0,10,0,0,0,0,10,0,0,10,0
Sheffield 021E,E01007996,0,0,20,10,25,20,5,0,10,5,0,0,20,0,0,300,400,10
Sheffield 022A,E01007874,0,0,30,100,0,10,0,25,0,0,0,0,20,20,0,10,30,0
Sheffield 022B,E01007875,0,0,0,0,0,0,0,5,10,0,0,50,0,40,0,100,125,0
Sheffield 022D,E01007877,0,40,400,75,250,600,300,75,25,30,0,5,50,225,0,350,800,5
Sheffield 022E,E01007940,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,100,0,0
Sheffield 022F,E01007944,0,0,0,0,0,0,30,0,15,0,0,0,5,15,0,0,15,10
Sheffield 022G,E01033269,0,75,3500,600,450,900,600,1250,450,1750,125,175,900,2250,1000,350,400,350
Sheffield 022H,E01033270,10,50,600,300,100,350,250,30,150,350,10,100,350,200,0,75,50,75
Sheffield 023A,E01008129,0,0,5,20,10,0,0,0,10,0,0,0,30,5,0,20,10,5
Sheffield 023B,E01008130,0,0,10,15,10,0,10,10,50,0,0,0,5,30,0,30,20,0
Sheffield 023C,E01008131,0,0,10,20,0,10,30,10,0,0,0,0,10,5,0,0,0,0
